what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664323233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664336909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664359202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664362075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664395649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664397008
error,log,,,"Internal Error",1437664397057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437664398131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664399079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664487308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664503642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664525831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437664680262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664682442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664701621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437664740511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664741728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664752439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664822392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664823929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437664829254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664830429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664840413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437664846390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664847184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664857532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664905240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664914167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664940728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664953397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664956465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664958436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437664965653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665006199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665060423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665092584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665114848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665115636
error,log,,,"Internal Error",1437665115681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665137107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665138746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1437665238965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437665317697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665319090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665357820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665433685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665435377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437665457224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665457972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665468047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437665488656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665489113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665497169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665499728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665500894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665503411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665504941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665507415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665508538
error,log,,,"Internal Error",1437665508576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437665509368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665509896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665541456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437665547251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437666844606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437666846760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437666866260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437666885510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437666892262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437667023714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667026269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667041782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437667045778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667046819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667098513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667109134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667149367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437667197797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667199282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667222827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437667267846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667268489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667296105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667297496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667331782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437667353758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667354739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667469245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437667480902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667482813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667496103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437667521518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667522812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667580765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667582097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667917931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667936123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667968072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1437667979957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437667989578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668025563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668045350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668047368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668049091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668085338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668110630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668125716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668172055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668174532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668213360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668214496
error,log,,,"Internal Error",1437668214545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668225094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668226173
error,log,,,"Internal Error",1437668226213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437668227484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437668248270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668250103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668346814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668348470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668576243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668578204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668597548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1437668628394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668642692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668645786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1437668647239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437668705317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437668730997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668735889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668756486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668757922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668811927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668879127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668889926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1437668899514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437668903724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668907350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668922251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437668943016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668943905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668953819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437668965489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668969842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668984438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437668988035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437668992094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669026100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669029550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669044281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669070057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669120231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437669201006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669203797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669215532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437669232037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669232984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669344875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669346463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669348161
